_id,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
345,Indi,Bijapur,Tontapur Dharmanna Shivayogappa,M,62,BSP,GEN,200749,138775,1087,0.78
346,Indi,Bijapur,Azroddin Hayachand Jahagiradar,M,28,BDBRAJP,GEN,200749,138775,912,0.66
347,Indi,Bijapur,Commander Bheerappa Bheemappa Khilari,M,58,IND,GEN,200749,138775,712,0.51
348,Indi,Bijapur,Shrishailagouda Shankreppa Biradar,M,38,BJP,GEN,200749,138775,15784,11.37
349,Indi,Bijapur,Dr Bagali Sarvabhouma Satagoud,M,67,IND,GEN,200749,138775,7414,5.34
350,Indi,Bijapur,Aravind Rukmabai Kalakeri,M,39,IND,GEN,200749,138775,805,0.58
351,Indi,Bijapur,Masali Kamalakar Sharanabasappa,M,43,JD(U),GEN,200749,138775,445,0.32
352,Indi,Bijapur,Shashikumar Somashekhar Malabagi,M,25,IND,GEN,200749,138775,651,0.47
353,Indi,Bijapur,Annappa Shivaningappa Khainur,M,51,JD(S),GEN,200749,138775,23173,16.7
354,Indi,Bijapur,Ravikant Shankreppa Patil,M,56,KJP,GEN,200749,138775,25260,18.2
355,Indi,Bijapur,Tulajappa Hanamant Byali,M,32,IND,GEN,200749,138775,708,0.51
356,Sindgi,Bijapur,Chincholi Shivappa Chanabasappa,M,36,IND,GEN,184900,128355,472,0.37
357,Sindgi,Bijapur,Patil Gurannagouda Goudappagouda,M,52,KJP,GEN,184900,128355,10523,8.2
358,Sindgi,Bijapur,Sunagar Sharanappa Tippanna,M,54,INC,GEN,184900,128355,27595,21.5
359,Sindgi,Bijapur,Rafiq Kane,M,37,IND,GEN,184900,128355,6938,5.41
360,Sindgi,Bijapur,Siddaramappa Rudrappa Ranjunagi,M,55,IND,GEN,184900,128355,1540,1.2
361,Sindgi,Bijapur,Siddanna Sharanappa Ishwarappagol,M,46,NCP,GEN,184900,128355,983,0.77
362,Sindgi,Bijapur,Dr.Dastagir,M,33,BSP,GEN,184900,128355,1115,0.87
363,Sindgi,Bijapur,Haranal Santosh Shivappa,M,33,SP,GEN,184900,128355,261,0.2
364,Sindgi,Bijapur,Managuli Mallappa Channaveerappa,M,77,JD(S),GEN,184900,128355,37082,28.89
365,Sindgi,Bijapur,Bhusanur Ramesh Balappa,M,54,BJP,GEN,184900,128355,37834,29.48
366,Sindgi,Bijapur,Ashok Veerabadrappa Gholli,M,54,IND,GEN,184900,128355,298,0.23
367,Sindgi,Bijapur,Vishwakarma Iranna Madiwalappa,M,53,IND,GEN,184900,128355,677,0.53
368,Sindgi,Bijapur,Mahantesh Bhimanna Naikodi,M,30,IND,GEN,184900,128355,1308,1.02
369,Sindgi,Bijapur,Devappagoud Guralingappagoud Patil (Chandakavate),M,60,JD(U),GEN,184900,128355,1199,0.93
370,Sindgi,Bijapur,Raju Talikoti,M,49,BSRC,GEN,184900,128355,530,0.41
371,Afzalpur,Gulbarga,M.Y.Patil,M,72,KJP,GEN,190336,128606,32855,25.55
372,Afzalpur,Gulbarga,Govind Vishwanath Bhat,M,36,SP,GEN,190336,128606,14643,11.39
373,Afzalpur,Gulbarga,Basha Patel Hasargundagi,M,48,BSRC,GEN,190336,128606,583,0.45
374,Afzalpur,Gulbarga,Mallappa M. Solapur,M,29,IND,GEN,190336,128606,1829,1.42
375,Afzalpur,Gulbarga,Vitthal Heroor,M,60,JD(S),GEN,190336,128606,22847,17.77
376,Afzalpur,Gulbarga,Malikayya Venkayya Guttedar,M,57,INC,GEN,190336,128606,38093,29.62
377,Afzalpur,Gulbarga,Huchappa Vathar Gour,M,40,BSP,GEN,190336,128606,1039,0.81
378,Afzalpur,Gulbarga,Sidramappa,M,36,IND,GEN,190336,128606,825,0.64
379,Afzalpur,Gulbarga,Vikram Bhat,M,27,IND,GEN,190336,128606,917,0.71
380,Afzalpur,Gulbarga,M.S.Patil,M,40,IND,GEN,190336,128606,682,0.53
381,Afzalpur,Gulbarga,Chandrashekar N. Karajagi,M,38,IND,GEN,190336,128606,631,0.49
382,Afzalpur,Gulbarga,Dilip R. Patil,M,36,BJP,GEN,190336,128606,10347,8.05
383,Afzalpur,Gulbarga,Shrishail Sidramappa Kalkeri,M,37,IND,GEN,190336,128606,1364,1.06
384,Afzalpur,Gulbarga,Somshekhar J. Deshmukh,M,40,IND,GEN,190336,128606,1171,0.91
385,Afzalpur,Gulbarga,Sharanabasappa S. Kalshetty,M,48,IND,GEN,190336,128606,780,0.61
386,Jevargi,Gulbarga,Ajay Dharam Singh,M,39,INC,GEN,197259,144563,67038,46.37
