const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
207,Sullia,2562,206210,2023,1.2424227729014112,1.2424227729014112
208,Madikeri,1516,232799,2023,0.6512055464155774,0.6512055464155774
209,Virajpet,1636,224936,2023,0.7273179926734715,0.7273179926734715
210,Periyapatna,621,195631,2023,0.3174343534511402,0.3174343534511402
211,Krishnarajanagara,539,218050,2023,0.24719101123595505,0.24719101123595505
212,Hunsur,894,241653,2023,0.36995195590371316,0.36995195590371316
213,Heggadadevankote,1184,225857,2023,0.5242255055189788,0.5242255055189788
214,Nanjangud,1452,220420,2023,0.6587424008710643,0.6587424008710643
215,Chamundeshwari,2220,329223,2023,0.6743149779936395,0.6743149779936395
216,Krishnaraja,1306,250435,2023,0.5214926028710045,0.5214926028710045
217,Chamaraja,1181,246297,2023,0.4795023893916694,0.4795023893916694
218,Narasimharaja,1209,288775,2023,0.41866505064496584,0.41866505064496584
219,Varuna,634,234533,2023,0.27032443195627054,0.27032443195627054
220,T.Narasipur,1335,204865,2023,0.6516486466697581,0.6516486466697581
221,Hanur,602,221630,2023,0.27162387763389434,0.27162387763389434
222,Kollegal,1671,216643,2023,0.7713150205637846,0.7713150205637846
223,Chamarajanagar,794,209521,2023,0.3789596269586342,0.3789596269586342
224,Gundlupet,1538,213888,2023,0.7190679233991621,0.7190679233991621
