const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
59,Maski,1295,211183,2023,0.6132122377274686,0.6132122377274686
60,Kushtagi,1592,233835,2023,0.6808219470994504,0.6808219470994504
61,Kanakagiri,1600,224068,2023,0.7140689433564811,0.7140689433564811
62,Gangawati,426,202243,2023,0.2106376982145241,0.2106376982145241
63,Yelburga,1565,223211,2023,0.7011303206383198,0.7011303206383198
64,Koppal,1317,254021,2023,0.5184610721160849,0.5184610721160849
65,Shirahatti,1642,226999,2023,0.7233512041903268,0.7233512041903268
66,Gadag,1543,222792,2023,0.6925742396495386,0.6925742396495386
67,Ron,1600,232510,2023,0.6881424454862156,0.6881424454862156
68,Nargund,1769,187212,2023,0.944918060808068,0.944918060808068
69,Navalgund,1120,207237,2023,0.5404440326775624,0.5404440326775624
70,Kundgol,1001,186825,2023,0.535795530576743,0.535795530576743
71,Dharwad,1521,214132,2023,0.7103095287019222,0.7103095287019222
72,Hubli-Dharwad East,798,209530,2023,0.3808523839068391,0.3808523839068391
73,Hubli-Dharwad Central,1251,249371,2023,0.5016621820500379,0.5016621820500379
74,Hubli-Dharwad West,1808,263230,2023,0.686851802606086,0.686851802606086
75,Kalghatgi,1137,194742,2023,0.5838494007456019,0.5838494007456019
76,Haliyal,941,181519,2023,0.5184030321894678,0.5184030321894678
77,Karwar,1773,219544,2023,0.8075829901978646,0.8075829901978646
78,Kumta,2085,188894,2023,1.1037936620538502,1.1037936620538502
79,Bhatkal,1223,222794,2023,0.5489375835974039,0.5489375835974039
80,Sirsi,1638,200755,2023,0.8159199023685587,0.8159199023685587
81,Yellapur,1457,182472,2023,0.7984786707001623,0.7984786707001623
82,Hangal,725,211927,2023,0.34209893029203453,0.34209893029203453
83,Shiggaon,1336,226226,2023,0.5905598825952808,0.5905598825952808
84,Haveri,1415,233307,2023,0.6064970189492814,0.6064970189492814
85,Byadgi,1491,208910,2023,0.7137044660380067,0.7137044660380067
86,Hirekerur,953,185982,2023,0.5124151799636524,0.5124151799636524
87,Ranibennur,1584,237234,2023,0.6676951870305269,0.6676951870305269
88,Hadagalli,823,191338,2023,0.4301288818739613,0.4301288818739613
89,Hagaribommanahalli,846,230042,2023,0.3677589309778215,0.3677589309778215
90,Vijayanagara,1599,249956,2023,0.6397125894157372,0.6397125894157372
91,Kampli,997,214473,2023,0.46486037869568664,0.46486037869568664
92,Siruguppa,1645,217209,2023,0.7573351012158797,0.7573351012158797
93,Bellary,1142,238361,2023,0.47910522275036604,0.47910522275036604
94,Bellary City,983,259221,2023,0.37921310387661494,0.37921310387661494
95,Sandur,1065,223337,2023,0.47685784263243436,0.47685784263243436
96,Kudligi,804,203802,2023,0.3945005446462743,0.3945005446462743
97,Molakalmuru,1561,243788,2023,0.6403104336554711,0.6403104336554711
98,Challakere,1639,220968,2023,0.7417363600159299,0.7417363600159299
99,Chitradurga,695,262552,2023,0.2647094670769981,0.2647094670769981
100,Hiriyur,691,243619,2023,0.2836396175996125,0.2836396175996125
101,Hosadurga,1030,197693,2023,0.5210098486036431,0.5210098486036431
102,Holalkere,1159,235346,2023,0.49246641115634004,0.49246641115634004
103,Jagalur,1996,193028,2023,1.0340468740286384,1.0340468740286384
104,Harapanahalli,926,217175,2023,0.42638425233106936,0.42638425233106936
105,Harihar,557,207589,2023,0.268318648868678,0.268318648868678
106,Davanagere North,919,241278,2023,0.38088843574631753,0.38088843574631753
107,Davanagere South,655,210708,2023,0.3108567306414564,0.3108567306414564
108,Mayakonda,718,191421,2023,0.37508946249366576,0.37508946249366576
109,Channagiri,555,199517,2023,0.2781717848604379,0.2781717848604379
110,Honnali,560,199012,2023,0.28139006693063734,0.28139006693063734
111,Shimoga Rural,1053,212458,2023,0.4956273710568677,0.4956273710568677
112,Bhadravati,803,212359,2023,0.3781332554777523,0.3781332554777523
113,Shimoga,1225,260757,2023,0.46978604601218765,0.46978604601218765
114,Tirthahalli,1164,188267,2023,0.6182708600020184,0.6182708600020184
115,Shikaripura,688,198883,2023,0.34593203038972664,0.34593203038972664
116,Sorab,1010,195341,2023,0.5170445528588469,0.5170445528588469
117,Sagar,1363,205262,2023,0.6640293868324386,0.6640293868324386
118,Byndoor,1208,235716,2023,0.5124811213494205,0.5124811213494205
119,Kundapura,1141,209592,2023,0.5443910072903546,0.5443910072903546
120,Udupi,1316,216989,2023,0.6064823562484735,0.6064823562484735
121,Kapu,805,189007,2023,0.42591015147587125,0.42591015147587125
122,Karkal,921,190611,2023,0.4831830272124904,0.4831830272124904
123,Sringeri,678,170579,2023,0.3974697940543678,0.3974697940543678
124,Mudigere,1166,172084,2023,0.6775760675019177,0.6775760675019177
125,Chikmagalur,849,230738,2023,0.36794979587237475,0.36794979587237475
126,Tarikere,736,193745,2023,0.37988077111667395,0.37988077111667395
127,Kadur,928,206584,2023,0.44921194284165283,0.44921194284165283
128,Chiknayakanhalli,778,218952,2023,0.35532902188607546,0.35532902188607546
129,Tiptur,635,184334,2023,0.3444833834235681,0.3444833834235681
