,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
18,Puttur,Ashok Kumar Rai,INC,53.0,1.0,428388019.0,,Postgraduates,MA Politics from Karnataka State and University Mysore In 2009,GEN,Dakshina Kannada,Farming and Industry,Industry,"Agriculture / Farming, Engineering / Technology",Engineering / Technology,66607,M,0,104918,107832,3,212753,206,172762
19,Jevargi,Ajay Dharam Singh,INC,49.0,1.0,657904532.0,378016860.0,Doctorates,"Bachelor of Medicine and Bachelor of Surgery (MBBS) from M S. Ramaiah Medical College, Bangalore University- Year - 1998",GEN,Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship,70810,M,1,121727,118122,28,239877,35,167404
20,Hosadurga,B G Govindappa,INC,67.0,1.0,29098000.0,1873590.0,Higher Secondary Education,PUC From JSS College Mysore In 1971-72,GEN,Chitradurga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,81050,M,0,99418,98236,0,197654,101,167580
21,Sidlaghatta,B N Ravikumar,JD(S),54.0,0.0,22565901.0,20000.0,Primary Education,"7th passed government higher primary school , maloor in 1987-88",GEN,Chikkaballapur,Agriculture,House wife,Agriculture / Farming,Not Given,68932,M,0,101620,101910,11,203541,142,177260
22,Chincholi,Dr. Umesh G Jadhav,BJP,34.0,0.0,27180652.0,9630394.0,Doctorates,MBBS from JSS Medical College Mysore in 2016,SC,Gulbarga,Doctor,Housewife,Medicine / Healthcare,Education / Academia,69963,M,1,103757,99736,15,203508,42,149940
23,Siruguppa,B. M. Nagaraja,INC,51.0,0.0,92962608.0,,Unknown,"SSLC from Govt. High School, Siruguppa - Failed",ST,Bellary,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,90862,M,0,106789,110354,38,217181,92,168106
24,Harihar,B P Harish,BJP,62.0,0.0,57339331.0,12341925.0,Graduates,B.A- M.S.B.College Davangere -1981,GEN,Davangere,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,63924,M,0,103667,103832,18,207517,105,168473
25,Belgaum Uttar,Asif (Raju) Sait,INC,64.0,0.0,331449445.0,203740.0,Higher Secondary Education,"PUC Commerce, Gogate Collage of commerce, in year 1975",GEN,Belgaum,Business,House wife,Business / Entrepreneurship,Not Given,69184,M,0,124092,127143,11,251246,11,149478
26,Anekal,B.Shivanna,INC,56.0,1.0,352472752.0,40725739.0,Postgraduates,"M.Sc., Bangalore University 1992 L.L.B Islamia Law College Bangalore 1995",SC,Bangalore Urban,"Social Worker ,Business",House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,134797,M,1,210826,191683,86,402595,177,251702
27,Jagalur,B.Devendrappa,INC,61.0,0.0,21154681.0,3200000.0,Graduates,"PUC Pass- Graduate Education Incomplete, Govt. Arts College, Chithraduraga, In 1983-84",ST,Davangere,Retired Govt. Employee and Agriculture,Agriculture,"Education / Academia, Agriculture / Farming",Agriculture / Farming,50765,M,0,97690,95257,11,192958,103,156483
28,Bhadravati,B.K.Sangameshwara.,INC,60.0,4.0,69748411.0,28386203.0,Secondary Education,"SSLC ,Bhadra High School,Halappa Circle ,Bhadravathi",GEN,Shimoga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,66208,M,1,103198,108962,5,212165,112,155311
29,K.R.Pura,B. A. Basavaraja,BJP,59.0,3.0,1225222505.0,231884072.0,Higher Secondary Education,B.A Government Arts College Bangalore 1st Year Not Completed in 1988-89,GEN,B.B.M.P(North),Business,House Wife,Business / Entrepreneurship,Cound't Classify,139925,M,0,266236,244188,167,510591,151,269462
30,Bellary,B Nagendra,INC,52.0,42.0,176342135.0,37878335.0,Graduates,B. Com From Veerashaiva College Bellary Gulbarga University In 1993,ST,Bellary,Member of Vidhan Sabh,House Wife,Politics / Public Service,Cound't Classify,103836,M,0,116096,122181,49,238326,93,182692
31,Kittur,Babasaheb Patil,INC,51.0,0.0,51716730.0,11233735.0,Graduates,"B.Sc. (Agri) From University of Agricultural Science, Dharwad, Year-1994",GEN,Belgaum,Agriculture Business,Business Public Servant,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Politics / Public Service",77536,M,0,98176,96087,5,194268,15,156660
32,Shiggaon,Basavaraj Bommai,BJP,63.0,0.0,521356863.0,59420772.0,Diploma Holders,"BE in Mechanical BVB Engineering college, Hubli-580031 in 1977-1982",GEN,Haveri,Public Servant Business,Business,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship,100016,M,1,116588,109480,11,226079,83,182027
33,Tumkur Rural,B.Suresh Gowda,BJP,58.0,2.0,139740978.0,9700000.0,Graduates,"B.Com from RC College, Bangalore University in 1987-1988",GEN,Tumkur,social Service,House Wife and Agriculturist,Social Work / Activism,"Agriculture / Farming, Not Given",89191,M,0,103252,105454,19,208725,133,182389
34,Maski,Basan Gouda Turvihal,INC,58.0,1.0,29965452.0,3112602.0,Secondary Education,SSLC Sri Vasavi High School Sindhanur,ST,Raichur,Agriculture,no,Agriculture / Farming,Cound't Classify,79566,M,0,103650,107512,7,211169,59,150798
