,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
81,Manvi,G Hampayya Nayak,INC,84.0,0.0,26275566.0,3435371.0,Secondary Education,SSLC From Kalburgi Year 1954,ST,Raichur,Agriculture and Social Service,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify,66922,M,0,114498,119261,64,233823,55,157730
82,Ron,Gurupadagouda Sanganagouda Patil,INC,75.0,0.0,68302000.0,2382348.0,Graduates,B.Sc. Under Graduate From Karnataka College Dharwad,GEN,Gadag,Agriculture and Business Transactions,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,94865,M,0,116176,115828,23,232027,67,178196
83,Tarikere,G.H. Srinivasa,INC,55.0,0.0,157002688.0,9523404.0,Postgraduates,"LLB, National Law College ,Kuvempu University Shivamoga in 1988",GEN,Chikmagalur,Agriculture,"House Wife , Partnership (Sai Baba Banashankari ,Anjanadri Stone Crusher)",Agriculture / Farming,Not Given,63086,M,0,96134,97510,1,193645,126,154149
84,Chamundeshwari,G.T.Devegowda,JD(S),73.0,0.0,228091473.0,99138842.0,Secondary Education,"8th Class from Govt. High School, Mysore In 1966",GEN,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,104873,M,1,162890,163796,35,326721,215,247118
85,Srinivaspur,G.K. Venkatashivareddy,JD(S),76.0,1.0,158277352.0,25000.0,Postgraduates,"B.Sc, LLB,-1973 Govt Law collage",GEN,Kolar,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,95463,M,0,107560,109196,7,216763,144,190972
86,Chikkodi-Sadalga,Ganesh Prakash Hukkeri,INC,45.0,0.0,179712182.0,23999693.0,Graduates,BBA from Bharathesh College Belagavi Karnataka University Dharwad in 1999-2000,GEN,Belgaum,"Agriculture, IOC Dealers and Social Service","Architech Engineering, Agriculture, BPCL Dealers and Social Service","Agriculture / Farming, Social Work / Activism","Engineering / Technology, Agriculture / Farming, Social Work / Activism",128349,M,1,110437,109450,9,219896,2,183835
87,Kapu,Gurme Suresh Shetty,BJP,60.0,3.0,332958223.0,38535062.0,Graduates,"Bachelor of Commerce from Veerashaiva College, Bellary, Gulbargha University in 1994",GEN,Udupi,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,80559,M,0,90517,98430,5,188952,121,151355
88,Holenarasipur,H D Revanna,JD(S),65.0,0.0,800203059.0,152478385.0,Secondary Education,"Matriculation from Government High School Chakenahalli, Hale Kote Hobli, Holenarsipura Taluk, Hassan District in 1973-74",GEN,Hassan,Agriculturist Public Servant,House Wife Social Activist,"Politics / Public Service, Agriculture / Farming","Not Given, Social Work / Activism",88103,M,1,110108,110020,10,220138,197,185444
89,Gangawati,G Janardhan Reddy,KRPP,56.0,20.0,2465142443.0,,Secondary Education,Completed 10th Standard at Government High School (Municipal) at Bellary in the year 1981-82,GEN,Koppal,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",66213,M,0,100295,101899,12,202206,62,159859
90,Hunsur,G.D. Harish Gowda,JD(S),36.0,1.0,375957457.0,,Graduates,"BE - National Institute of Engineering ,Mysore in 2009",GEN,Mysore,Business,House wife,Business / Entrepreneurship,Not Given,94666,M,0,121217,121525,14,242756,212,200945
91,Sagar,Gopala Krishna Beluru,INC,59.0,0.0,48030029.0,,Higher Secondary Education,"PUC, Government PU College, Sagara 1981-1982",GEN,Shimoga,"Agriculture, Businessman, Social worker","Business Woman, and House Wife","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism","Business / Entrepreneurship, Construction / Real Estate",88988,M,0,101592,103666,2,205260,117,166465
92,Chikmagalur,H. D. Thammaiah,INC,55.0,0.0,65153339.0,26514557.0,Higher Secondary Education,"PUC From Government Primary College, Chikkamagaluru District in 1986",GEN,Chikmagalur,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,85054,M,0,114032,116541,21,230594,125,170072
93,Hassan,H. P. Swaroop,JD(S),40.0,0.0,76138629.0,,Graduates,BE 1999-2001 Bahubali engineering college sravanabelogola,GEN,Hassan,Business man,Doctor,Business / Entrepreneurship,Medicine / Healthcare,85176,M,0,112325,115485,13,227823,196,171038
94,Krishnarajpet,H T Manju,JD(S),49.0,2.0,709288021.0,48003267.0,Diploma Holders,BLISC- Karnataka Open University Mysore-2003,GEN,Mandya,"Agriculture, Petrol Bunk Business, Jelli, Soil Business, Bar and Restaurant, Education Trust",Agriculture Household and Petro Bunk Business,"Business / Entrepreneurship, Agriculture / Farming, Banking / Finance, Construction / Real Estate","Agriculture / Farming, Banking / Finance",80646,M,0,109392,109071,11,218474,192,189545
95,Magadi,H. C. Balakrishna,INC,58.0,2.0,353065853.0,125133636.0,Doctorates,"MBBS from Govt boys College, Kempegowda Institute of Medical Science In 1984-1991",GEN,Ramanagaram,Agriculture and social servive and EX Minister,Business,"Politics / Public Service, Social Work / Activism",Business / Entrepreneurship,94650,M,0,116058,117276,24,233358,182,202508
96,Channapatna,H D Kumara Swamy,JD(S),64.0,5.0,1892782794.0,765196588.0,Graduates,"Bachelor of Science Year 1978-1979, National College Jayanagar Bangalore Universtiy",GEN,Ramanagaram,Public Serviant and Agriculturist,Enterpreneur. Carrying on Business of Petrol and Petrolietjm Product under the Name and style of Nikhil co and Director in Kasturi Medias Pvt Ltd,"Politics / Public Service, Agriculture / Farming",Business / Entrepreneurship,96592,M,1,111530,118787,10,230327,185,197796
97,Belur,H K Suresh,BJP,52.0,0.0,4353050751.0,475523145.0,Diploma Holders,"Civil Engineering Year 1991 , Amaragin Polytechnic, Arasikere, Hassan District, Department of Technical Education State of Karnataka",GEN,Hassan,Business and Agriculturist,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,63571,M,0,99504,98183,4,197691,195,164021
98,Gadag,Hanamantagouda Krishnagouda Patil,INC,70.0,2.0,213550457.0,35305155.0,Postgraduates,"LLB From GSS Sakti Law College, Karnataka University, Dharwad, Year-1979 B.Sc. From GSS College, Karnataka University, Dharwad, Year-1973",GEN,Gadag,Agriculture,House wife,Agriculture / Farming,Not Given,89958,M,1,110331,112221,17,222569,66,170232
99,Ramanagaram,H. A. Iqbal Hussain,INC,62.0,5.0,956503894.0,88254962.0,Graduates,"B.Sc. From Bangalore University, Bangalore Rural College, Kanakapura, Bangalore Dist., Year-1984",GEN,Ramanagaram,Agriculturist and Business,Agriculturist and Business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",87690,M,0,106512,109530,19,216061,183,182750
100,Arsikere,K.M Shivalinge Gowda,INC,65.0,0.0,94299541.0,73608331.0,Graduates,"BA ,Hassan Government Art College,Mysuru University in 1980",GEN,Hassan,"Social Service , Agriculture, MLA","Agriculture,Business","Social Work / Activism, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming",98375,M,1,107421,108581,5,216007,194,186111
101,Gauribidanur,K H Puttaswamy Gowda (Winner),IND,69.0,0.0,12670337391.0,,Graduates,"B.Com Graduate 1973-75, RC Degree College Bengaluru University",GEN,Chikkaballapur,"Social Worker, Business",Business,"Business / Entrepreneurship, Social Work / Activism",Business / Entrepreneurship,83837,M,0,104041,106339,5,210385,139,180815
102,Sindhanur,Hampanagouda Badarli,INC,73.0,1.0,94013248.0,26484062.0,Graduates,B.A.Karnataka Collage Darvade Year 1972-73,GEN,Raichur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,73645,M,0,116916,122309,22,239247,58,175412
103,Kampli,J N Ganesh,INC,44.0,0.0,88965355.0,8889479.0,Graduates,"Bachelor of Arts, 2nd Year Incomplete, Vijayanagar University, Hospete - 2003-04",ST,Bellary,Business and Agriculture,House Wife and Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Not Given",100424,M,1,106528,107882,29,214439,91,181884
104,Bilgi,J. T. Patil,INC,73.0,0.0,38405462.0,47818304.0,Graduates,B.Sc. from P.C. Jabin Science Collage Hubali of Karnataka University Dharwad in the year 1991-72,GEN,Bagalkot,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,95652,M,0,114789,116201,16,231006,22,184837
105,Gokak,Jarkiholi Ramesh Laxmanrao,BJP,63.0,1.0,492745820.0,434812627.0,Graduates,"BA-1st Year From JSS College Gokak, Karnataka University, Dharwad, Year-1981",GEN,Belgaum,"Member of Karnataka State Legislative Assembly, Salary, Business and Agriculture",House Wife Agriculture,"Politics / Public Service, Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,105313,M,1,125635,128996,19,254650,9,190390
106,Gundlupet,H.M.Ganesh Prasad,INC,39.0,0.0,273795488.0,168717170.0,Graduates,B.Com From Mysore University in 2006,GEN,Chamarajnagar,Agriculture and own business,Agriculture and house wife,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,107794,M,0,105020,108797,19,213836,224,187995
107,Pavagada,H.V.Venkatesh,INC,46.0,0.0,222564672.0,66266045.0,Graduates,"B.A, LLB, Bangalore University",SC,Tumkur,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,83062,M,0,98963,94034,10,193007,137,167390
108,Nippani,Jolle Shashikala Annasaheb,BJP,53.0,1.0,522306937.0,224158029.0,Secondary Education,"SSLC From SDT High School Ghataprabha, Year-1985",GEN,Belgaum,"Business, Agriculture, Social Work","Business, Agriculture, Social Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",73348,F,1,113856,111823,9,225688,1,187412
109,Vijayanagara,H.R.Gaviyappa,INC,60.0,1.0,485349735.0,1517930.0,Higher Secondary Education,"1st PUC 1980-81, Vijayanagara Pre-University College Hospet",GEN,Bellary,Social Service Worker Business,Homemaker,"Social Work / Activism, Business / Entrepreneurship",Not Given,104863,M,0,121626,128253,77,249956,90,180837
110,Belthangady,Harish Poonja,BJP,41.0,1.0,32733882.0,11129074.0,Graduates,LLB From Mangalore University in 2008,GEN,Dakshina Kannada,"The Director ,Fix Gram Pre Media Pvt Ltd,","Partners, Accredited Enterprises Mangalore",Business / Entrepreneurship,Business / Entrepreneurship,101004,M,1,113774,115096,1,228871,200,189007
111,Periyapatna,K Venkatesh,INC,75.0,0.0,182906717.0,76426000.0,Graduates,B.Sc - Mysore Yuvaraja College passed in 1971-72,GEN,Mysore,"Agriculture , Entrepreneurship Social Service",House wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Not Given,85944,M,0,98106,97345,7,195458,210,165205
112,Mahalakshmi Layout,K. Gopalaiah,BJP,63.0,0.0,1106458434.0,576026284.0,Graduates,B.Sc. -1982-Bangalore University,GEN,B.B.M.P(North),Politics social services,"Housewife ,Business,Agriculture,Social service and politics","Politics / Public Service, Social Work / Activism","Business / Entrepreneurship, Construction / Real Estate, Agriculture / Farming, Social Work / Activism, Politics / Public Service",96424,M,1,149379,142586,39,292004,156,159103
113,Kadur,K S Anand,INC,44.0,2.0,46344594.0,4168668.0,Graduates,"BSC , Government First Grade College,Kaduru ,Kuvempu University ,in 2001",GEN,Chikmagalur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,75476,M,0,103581,102900,6,206487,127,169248
114,Chamaraja,K. Harish Gowda,INC,50.0,0.0,38289960.0,6800000.0,Higher Secondary Education,"BA Failed , Maharaja College, Mysore- 1989-90",GEN,Mysore,Agriculture,House wife,Agriculture / Farming,Not Given,72931,M,0,121368,124844,31,246243,217,150615
115,Mayakonda,K. S. Basavanthappa,INC,55.0,1.0,10131523.0,325800.0,Higher Secondary Education,"1st PUC ,A.R,G Collage Davangere-1987-88",SC,Davangere,Agriculture and business,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia,70916,M,0,96491,94803,6,191300,108,161790
116,Tiptur,K Shadakshari,INC,74.0,0.0,105683460.0,47809263.0,Graduates,"Bachelor of Commerce from R.V.Collage, Bangalore University",GEN,Tumkur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,71999,M,0,89502,94775,1,184278,129,156069
117,Chitradurga,K.C.Veerendra Puppy,INC,47.0,2.0,1348942076.0,191632592.0,Graduates,"B.Com from Kuvempu University, HPPC Govt. First Grade College in 1998-99 Challakere 577522",GEN,Chitradurga,Agriculturist and Business,Agriculturist and House Wife,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,122021,M,0,129626,132831,34,262491,99,203906
118,Koppal,K. Raghavendra Basavaraj Hitnal,INC,44.0,1.0,146673481.0,110157639.0,Higher Secondary Education,"PUC Science from JSS College, Dharwad in 1997-98",GEN,Koppal,Business,Housewife and besnes partner,Business / Entrepreneurship,"Hospitality / Tourism, Business / Entrepreneurship",90430,M,1,125954,127963,12,253929,64,194749
119,Jamkhandi,Jagadeesh Shivayya Gudagunti,BJP,68.0,0.0,575878204.0,42896510.0,Diploma Holders,"Diploma in Machanical Engineering Boiler Operation Course from Basaveshwar Engineering College, Bagalkot in 1972",GEN,Bagalkot,Industrialist Agriculturist,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,81937,M,0,107204,107042,5,214251,21,167688
120,Devanahalli,K.H.Muniyappa,INC,75.0,1.0,596309799.0,259497917.0,Graduates,"Graduate of Law from SJRC College 1986 Batch, Bangalore University",SC,Bangalore Rural,"Advocate, Politician and Agriculturalist",Business and Agriculturalist,"Law / Judiciary, Politics / Public Service, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",73058,M,0,105254,106352,19,211625,179,180569
121,Nagthan,Katakadhond Vitthal Dondiba,INC,67.0,1.0,60460000.0,2000000.0,Literate,B.com 2nd Yr Passed,SC,Bijapur,"Agriculture, Social Service and MLA Pension","House Wife, Agriculture and Social Service","Agriculture / Farming, Social Work / Activism, Politics / Public Service","Social Work / Activism, Agriculture / Farming",78990,M,0,138473,130647,22,269142,31,180540
122,Devadurga,Karemma,JD(S),50.0,7.0,9874000.0,2159000.0,Higher Secondary Education,"PUC Vocational Education Year 2000, S.V.E Trust pre university college, Humanabad, dist ; Bidar",ST,Raichur,Housewife,Retired Govt Employee,Education / Academia,Consulting / Advisory,99544,F,0,115884,117584,4,233472,56,175406
123,Hadagalli,Krishna Nayaka,BJP,40.0,1.0,428052937.0,,Postgraduates,"Engineering Graduate, Vishveshvaraya Technological University, Belagavi.",SC,Bellary,Businessman and Farmer,House wife and Farmer,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,73200,M,0,96632,94624,14,191270,88,149956
124,Gulbarga Uttar,Kaneez Fatima,INC,64.0,0.0,184367677.0,853448.0,Higher Secondary Education,Pre University Studied at Nampally Junior College Hyderabad,GEN,Gulbarga,Business and Educationist,Not Applicable,"Business / Entrepreneurship, Education / Academia",Cound't Classify,80973,F,1,125579,126709,70,252358,45,178845
125,Byatarayanapura,Krishna Byregowda,INC,50.0,2.0,167056737.0,9522183.0,Postgraduates,M.A. In International Affairs American University Washington DC USA In the year 1999 BBM Christ College Banglore 1994,GEN,Bangalore Urban,Agriculture,Vice President Delivery CGI Information System Ltd,Agriculture / Farming,Information Technology,160182,M,1,262739,245937,123,508799,152,294274
126,Madhugiri,Kyathasandra N. Rajanna,INC,72.0,0.0,350503607.0,126760567.0,Postgraduates,"LLB from Vidyodaya Law College, Tumkur Bangalore University in 1984, B.Sc. from Government Science College, Tumkur Mysore University in 1972",GEN,Tumkur,Advocate and Agriculturist,Business and Agriculturist,"Law / Judiciary, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",91166,M,0,97163,96299,5,193467,138,166615
127,Hukkeri,Katti Nikhil Umesh,BJP,40.0,1.0,1219528236.0,97097.0,Postgraduates,"MBA From University of Wales Institute, Cardiff United Kingdom, Year-2008-09",GEN,Belgaum,Agriculture and MD at VSIL,Housewife and Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Hospitality / Tourism, Agriculture / Farming",103574,M,0,103117,103449,8,206574,7,167903
128,Bailhongal,Koujalagi. Mahantesh. Shivanand.,INC,52.0,1.0,153899312.0,7227724.0,Graduates,"Bachelor of Laws (Special) from Karnataka University Dharwad, Karnataka University Law College, Dharwad in 1996",GEN,Belgaum,Advocate and Agriculturist,Dairy,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare,58408,M,1,97607,97233,2,194842,16,152596
129,Malur,K.Y. Nanjegowda,INC,56.0,4.0,252811726.0,401422892.0,Secondary Education,"9th Standard, Tekal Government High School in 1981",GEN,Kolar,Building Stone quarry Stone crusher Business Agriculture,House Maker,"Agriculture / Farming, Construction / Real Estate",Cound't Classify,50955,M,1,95777,96890,7,192674,149,173292
130,Harapanahalli,Latha Mallikarjun,IND,57.0,0.0,72929747.0,6491783.0,Higher Secondary Education,"PUC, G.B.R College ,Huvinahadagali in 1984",GEN,Davangere,"Agriculture, Social Service","Retired Government Worker, Agriculture, Business","Agriculture / Farming, Social Work / Activism","Politics / Public Service, Agriculture / Farming, Business / Entrepreneurship",70194,F,0,109980,107046,19,217045,104,177425
131,Kundgol,M R Patil,BJP,61.0,0.0,17202932.0,246125.0,Graduates,"B-Com, J.G Commerce College, Hubli-1983",GEN,Dharwad,Shetaki,House Wife and Tailring,Cound't Classify,Cound't Classify,76105,M,0,95794,90733,8,186535,70,155086
132,Athani,Laxman Sangappa Savadi,INC,64.0,1.0,371838123.0,19881050.0,Higher Secondary Education,2nd PUC SSMS College Athani 591304 in 1978,GEN,Belgaum,Agriculture and Social Service,Agriculture and Housewife,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming,131404,M,0,116009,110904,4,226917,3,192279
133,Bangalore South,M Krishnappa,BJP,61.0,0.0,899949800.0,205114536.0,Secondary Education,"SSLC ,JSS,High school ,8th block jayanagar ,,bangalore,1978-79",GEN,Bangalore Urban,Legislators,Industrialist,Politics / Public Service,Business / Entrepreneurship,196220,M,1,366719,328920,103,695742,176,382112
134,Babaleshwar,Mallanagoud Basanagoud Patil,INC,58.0,5.0,1413104981.0,,Graduates,"B.E - Civil Engineering BLDE Institute V.P.Dr. PG Halakatti College of Engineering Technology, Vijayapura, Karnataka University, Dharward passed in 1990",GEN,Bijapur,Togetherness,House wife Togetherness,Cound't Classify,Not Given,93923,M,1,110801,106346,4,217151,29,179186
135,Holalkere,M. Chandrappa,BJP,71.0,0.0,257587486.0,576640.0,Graduates,BA in 1979,SC,Chitradurga,"Business, Agriculture , Social Service","Agriculture, Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Agriculture / Farming,88732,M,1,117964,117288,8,235260,102,197079
136,Vijay Nagar,M. Krishnappa,INC,71.0,1.0,2962656915.0,771806410.0,Graduates,"B.Sc. from Sri Jagadguru Renukacharya College, Bangalore University in 1973",GEN,B.B.M.P(South),Business and Agriculturist,Business and Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",80157,M,1,158290,146359,135,304784,167,158713
137,Kolar,Kothur.G. Manjunatha,INC,45.0,1.0,307839915.0,54192000.0,Secondary Education,SSLC Kennedy High school in 1994-95,GEN,Kolar,Ex MLA,House Wife,Politics / Public Service,Cound't Classify,83990,M,0,119078,121244,56,240378,148,192818
138,Belgaum Rural,Laxmi R Hebbalkar,INC,48.0,3.0,131840922.0,68864493.0,Postgraduates,"M.A. (Political Science) From University of Mysore, Year-2002",GEN,Belgaum,"Director in Harsha Sugars Ltd., Belagavi, Mrinal Sugars Ltd., Belagavi, Harsha Builders and Developers Pvt. Ltd., Belagavi and Chairperson, Lakshmitayi Foundation, Belagavi",Agriculture,Business / Entrepreneurship,Agriculture / Farming,107619,F,1,130106,127126,9,257241,13,204562
139,Hungund,Kashappanavara Vijayanand Shivashankrappa,INC,52.0,11.0,99121943.0,29294425.0,Higher Secondary Education,2nd PUC From SJ Independent Pre University College Hitnalli Tanda dist. Bijapura 1992,GEN,Bagalkot,"Agriculture, Business and social work",Agriculture and social work,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism","Agriculture / Farming, Social Work / Activism",78434,M,0,111068,111367,11,222446,25,165361
140,Hubli-Dharwad Central,Mahesh Tenginakai,BJP,52.0,1.0,14046961.0,700900.0,Secondary Education,SSLC PASSED -MARCH1986- Sconday Education Bangalore,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify,95064,M,0,123584,125617,39,249240,73,160401
141,Sorab,Madhu Bangarappa,INC,57.0,2.0,695121427.0,264628494.0,Graduates,BA- Bangalore University Karnataka state passed in 1988,GEN,Shimoga,Business Agriculture,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,98912,M,0,98505,96793,2,195300,116,164036
142,Hangal,C M Udasi,INC,48.0,0.0,101433096.0,30342985.0,Graduates,B.com Degree from Janardan Rai Nagar Rajasthan Vidhyapeeth University Udaipur in 2007,GEN,Haveri,"Director BTM Investments Pvt Ltd Hubballi , Director BTM forging Pvt Ltd, Director Veetech Valves Pvt Ltd, Director S R Process Controls Pvt Ltd, Partner Future Auto Solutions Hubballi",Director BTM Investments Pvt Ltd Hubballi,Business / Entrepreneurship,Business / Entrepreneurship,94590,M,1,108777,103066,4,211847,82,179272
143,Kudachi,Mahendra Kallappa Tammannavar,INC,45.0,1.0,74975544.0,2500000.0,Graduates,"Bachelor of Arts, Karnataka College, Dharwad - 2002",SC,Belgaum,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,85321,M,0,99043,94096,14,193153,5,150040
144,Afzalpur,M Y Patil,INC,82.0,0.0,46932109.0,3323000.0,Graduates,"BA from Karnataka University, Dharwad in 1964",GEN,Gulbarga,Agricultural and Social Work,Household Duties,"Agriculture / Farming, Social Work / Activism",Cound't Classify,56313,M,1,117230,110806,21,228057,34,160322
145,Hanur,M.R. Manjunath,JD(S),50.0,0.0,3166796220.0,612284951.0,Secondary Education,"SSLC from Lawry Memorial High School in 1990, Diploma (DME)-Discontinued-MVJ College in 1994",GEN,Chamarajnagar,Business,House Wife,Business / Entrepreneurship,Cound't Classify,75632,M,0,111960,109581,16,221557,221,180366
146,Bhatkal,Mankal Vaidya,INC,51.0,1.0,642419070.0,361187037.0,Literate,8th from Janata University murdeshwara 1988,GEN,Uttara Kannada,Fish business,Bina vaidya international public school,Agriculture / Farming,Education / Academia,100442,M,0,112988,109720,0,222708,79,174848
147,Bagalkot,Meti Hullappa Yamanappa,INC,77.0,0.0,34923400.0,18995965.0,Secondary Education,"8th Standard From R.B.P.G Allikatti High School, Alamatti",GEN,Bagalkot,Agriculture,Agriculture Household,Agriculture / Farming,Agriculture / Farming,79336,M,0,121706,123421,16,245143,24,170370
148,Rajarajeshwarinagar,Munirathna,BJP,59.0,8.0,2936028925.0,1022190597.0,Secondary Education,SSLC Corporation High School Kodandaramapuram Bangalore In Year 1981,GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,127980,M,1,250503,235189,80,485772,154,262701
149,Lingsugur,Manappa D Vajjal,BJP,59.0,0.0,307477543.0,,Primary Education,"6th pass-1972 Govt Primary School,Dhabala",SC,Raichur,Social Work,Housewife,Social Work / Activism,Education / Academia,58769,M,0,126988,128537,9,255534,57,174238
150,Mudigere,Nayana Motamma,INC,43.0,0.0,107296154.0,16471743.0,Doctorates,"LLM From University of Pennsylvania, USA in 2004",SC,Chikmagalur,Advocate,Advocate,Law / Judiciary,Law / Judiciary,50843,F,0,84094,87898,6,171998,124,133811
151,Nagamangala,N. Chaluvarayaswamy,INC,62.0,1.0,718826361.0,164523017.0,Diploma Holders,"Diploma in Civil Engineering From Polytechnic College KR Pete Mandya in 1978-83 10th Pass From Sri Siddhaganga High School, Tumkur, Year-1975-78",GEN,Mandya,"Agriculture, Ex-MLA,property development rent","Agriculture, property development rent","Politics / Public Service, Law / Judiciary","Agriculture / Farming, Construction / Real Estate",90634,M,0,107115,107075,12,214202,191,192146
152,Shanti Nagar,N A Haris,INC,56.0,1.0,4392099180.0,283057896.0,Postgraduates,M.A. in History Karnataka State Open University Year 2005,GEN,B.B.M.P(Central),"Managing Director , Nalapad Group of Companies",House Wife,Business / Entrepreneurship,Cound't Classify,61030,M,1,111931,108797,50,220778,163,119970
153,Bellary City,Nara Bharath Reddy,INC,33.0,2.0,911821808.0,343786368.0,Graduates,BBM from Gulbarga University in 2010,GEN,Bellary,Business Agriculturist,"Business, House Wife, Agriculturist","Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Not Given, Agriculture / Farming",86440,M,0,126067,133087,30,259184,94,178350
154,Mahadevapura,Manjula S,BJP,48.0,0.0,530051631.0,182563952.0,Higher Secondary Education,Second Pre university College NMKRV Bangalore 1992,SC,Bangalore Urban,Business Social Worker,Civil Engineer and Social Worker,"Business / Entrepreneurship, Social Work / Activism","Engineering / Technology, Social Work / Activism",181731,F,0,326692,280346,120,607158,174,334616
155,Molakalmuru,B. Sreeramulu,INC,71.0,0.0,65063394.0,,Postgraduates,MBA from Mysore University,ST,Chitradurga,Social services Agriculture,Housewife,"Social Work / Activism, Agriculture / Farming",Education / Academia,109459,M,1,122927,120788,12,243727,97,203405
156,Malavalli,P.M.Narendraswamy,INC,61.0,1.0,230174903.0,51965430.0,Graduates,"B.E. Civil From Ambedkar Institute of Technology Bangalore, Year-1994",SC,Mandya,Business,House Wife,Business / Entrepreneurship,Cound't Classify,106498,M,0,124284,124187,23,248494,186,197983
157,Hagaribommanahalli,Nemarajanaik.K,JD(S),52.0,3.0,100109183.0,29292072.0,Graduates,BA from Magad University Patna in april 2006,SC,Bellary,"Agriculture, Poultry farm",Housewife,Agriculture / Farming,Education / Academia,84023,M,0,114630,115335,22,229987,89,189065
158,Navalgund,Ningaraddi Hanamaraddi Konaraddi,INC,59.0,0.0,61406692.0,2119598.0,Graduates,"Bachelor of Commerce in Karnataka University, Shankara Arts University, Navalgund - 1987",GEN,Dharwad,Agriculture,House Wife and Agriculturist,Agriculture / Farming,"Agriculture / Farming, Not Given",86081,M,0,104611,102104,7,206722,69,161914
159,Turuvekere,M.T.Krishnappa,JD(S),71.0,8.0,19513690.0,115000.0,Graduates,"Bcom, Bangalore University, 1974",GEN,Tumkur,Agriculture,House wife,Agriculture / Farming,Not Given,68163,M,0,90932,91718,2,182652,130,160338
160,Aurad,Prabhu Chauhan,BJP,53.0,0.0,108523296.0,5453872.0,Secondary Education,"12 Th class ,Ashrama school shilavana border-1997",SC,Bidar,Agriculture and work,Agriculture,"Agriculture / Farming, Cound't Classify",Agriculture / Farming,81382,M,1,113956,105234,0,219190,52,158603
161,Chikkaballapur,Pradeep Eshwar,INC,38.0,2.0,8923859.0,1728204.0,Higher Secondary Education,"PUC from Sir M V Memorial PU College, Chikkaballapur In 2005",GEN,Chikkaballapur,As a Director In M s Parishrama Education (opc) Pvt. Ltd.,Lecturer In M s Parishrama Education (opc) Pvt. Ltd.,Consulting / Advisory,Education / Academia,86224,M,0,103308,106464,19,209791,141,184817
162,Bantval,Rajesh Naik U.,BJP,64.0,0.0,323921952.0,52766528.0,Graduates,Graduate from JSS College Mysore In 1978-1981,GEN,Dakshina Kannada,Agriculture and Social Service,Agriculture and House Wife,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Education / Academia",93324,M,1,112229,116144,4,228377,205,185572
163,B.T.M.Layout,Ramalinga Reddy,INC,70.0,4.0,1106776557.0,385615954.0,Graduates,"B.Sc. from Govt. Science College, Bangalore University in 1975",GEN,B.B.M.P(South),"MLA, Karnataka Legislative Assmbly Business","Business Income, Rental Income and Interest Income","Politics / Public Service, Business / Entrepreneurship","Business / Entrepreneurship, Construction / Real Estate, Banking / Finance",68557,M,1,143266,131717,45,275028,172,135231
