const_num,total_electors,total_const_votes,Year,constituency
156,245583,147849,2013,Mahalakshmi Layout
157,173755,108299,2013,Malleshwaram
158,210497,115540,2013,Hebbal
159,178272,100501,2013,Pulakeshinagar
160,280041,140672,2013,Sarvagnanagar
161,197124,106178,2013,C.V. Raman Nagar
162,167309,90895,2013,Shivajinagar
163,179461,103610,2013,Shanti Nagar
164,192936,110828,2013,Gandhi Nagar
165,176249,107802,2013,Rajaji Nagar
166,239465,131237,2013,Govindraj Nagar
167,235950,133197,2013,Vijay Nagar
168,183009,107679,2013,Chamrajpet
169,187694,108814,2013,Chickpet
170,198604,103647,2013,Basavanagudi
171,219754,128353,2013,Padmanaba Nagar
172,206974,110486,2013,B.T.M.Layout
173,170907,95565,2013,Jayanagar
174,368393,226749,2013,Mahadevapura
175,323091,174734,2013,Bommanahalli
176,447562,250737,2013,Bangalore South
177,270767,186461,2013,Anekal
178,182905,166395,2013,Hosakote
179,185376,153547,2013,Devanahalli
180,183115,148302,2013,Doddaballapur
181,182233,139664,2013,Nelamangala
182,202991,170066,2013,Magadi
183,184788,148705,2013,Ramanagaram
184,210997,176151,2013,Kanakapura
185,198764,168511,2013,Channapatna
186,230524,172550,2013,Malavalli
187,196781,156272,2013,Maddur
188,191395,160892,2013,Melukote
189,222941,152818,2013,Mandya
190,195314,157807,2013,Shrirangapattana
191,200796,163624,2013,Nagamangala
192,189137,153482,2013,Krishnarajpet
193,189541,155814,2013,Shravanabelagola
194,197423,158869,2013,Arsikere
195,174842,132940,2013,Belur
196,188414,131059,2013,Hassan
197,198333,162263,2013,Holenarasipur
198,197950,170262,2013,Arkalgud
199,181602,140486,2013,Sakaleshpur
200,193864,146229,2013,Belthangady
201,173553,128808,2013,Moodabidri
202,204413,145853,2013,Mangalore City North
203,205065,132315,2013,Mangalore City South
204,168319,124927,2013,Mangalore
205,197060,156188,2013,Bantval
206,179600,142808,2013,Puttur
207,180177,146066,2013,Sullia
208,202851,153856,2013,Madikeri
209,201277,142377,2013,Virajpet
210,162480,136307,2013,Periyapatna
211,188498,157467,2013,Krishnarajanagara
212,203627,161496,2013,Hunsur
213,192784,148917,2013,Heggadadevankote
214,185095,141009,2013,Nanjangud
215,239448,176962,2013,Chamundeshwari
216,216322,127812,2013,Krishnaraja
217,198462,109938,2013,Chamaraja
218,211635,115764,2013,Narasimharaja
219,194915,160641,2013,Varuna
220,179884,135293,2013,T.Narasipur
221,181142,137852,2013,Hanur
222,191581,146477,2013,Kollegal
223,186873,146760,2013,Chamarajanagar
224,190420,162326,2013,Gundlupet
1,212456,172251,2018,Nippani
2,211083,179201,2018,Chikkodi-Sadalga
3,214688,170565,2018,Athani
4,182173,145735,2018,Kagwad
5,180509,136653,2018,Kudachi
6,195850,150399,2018,Raybag
7,194888,157887,2018,Hukkeri
8,231864,176936,2018,Arabhavi
9,242402,173980,2018,Gokak
10,188279,149532,2018,Yemkanmardi
11,235098,147426,2018,Belgaum Uttar
12,234896,146715,2018,Belgaum Dakshin
13,240389,186419,2018,Belgaum Rural
14,206576,154219,2018,Khanapur
15,188915,148512,2018,Kittur
16,184815,144800,2018,Bailhongal
17,191740,153707,2018,Saundatti Yellamma
18,200580,151328,2018,Ramdurg
19,196118,148029,2018,Mudhol
