,Year,const_num,constituency,total_const_votes,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes,vote_difference,margin_percent
587,2023,194,Arsikere,186111.0,K.m. Shivalinge Gowda,INC,98375.0,N.r. Santhosh,JD(S),78198.0,20177.0,10.841379606793796
588,2023,195,Belur,164021.0,H.k. Suresh (hullalli Suresh),BJP,63571.0,B. Shivaramu,INC,55835.0,7736.0,4.716469232598265
589,2023,196,Hassan,171038.0,Swaroop Prakash,JD(S),85176.0,Preetham J. Gowda,BJP,77322.0,7854.0,4.591962020135877
590,2023,197,Holenarasipur,185444.0,H.d. Revanna,JD(S),88103.0,Shreyas M Patel,INC,84951.0,3152.0,1.6997044930005825
591,2023,198,Arkalgud,194067.0,A. Manju,JD(S),74844.0,M.t. Krishnegowda,IND,54946.0,19898.0,10.253159991137082
592,2023,200,Belthangady,189007.0,Harish Poonja,BJP,101004.0,Rakshith Shivaram,INC,82788.0,18216.0,9.63773828482543
593,2023,201,Moodabidri,158721.0,Umanatha Kotian,BJP,86925.0,Mithun M Rai,INC,64457.0,22468.0,14.155656781396287
594,2023,202,Mangalore City North,182363.0,Bharath Shetty. Y.,BJP,103531.0,Inayath Ali,INC,70609.0,32922.0,18.053004172995617
595,2023,203,Mangalore City South,161943.0,D.vedavyasa Kamath,BJP,91437.0,J.r.lobo,INC,67475.0,23962.0,14.79656422321434
596,2023,204,Mangalore,159999.0,U.t. Khader Fareed,INC,83219.0,Sathish Kumpala,BJP,60429.0,22790.0,14.243839023993901
597,2023,205,Bantval,185572.0,Rajesh Naik U,BJP,93324.0,B. Ramanath Rai,INC,85042.0,8282.0,4.462957773802082
598,2023,206,Puttur,172762.0,Ashok Kumar Rai,INC,66607.0,Arun Kumar Puthila,IND,62458.0,4149.0,2.401569789652817
599,2023,208,Madikeri,177416.0,Dr. Mantar Gowda,INC,84879.0,Appachu Ranjan M. P,BJP,80477.0,4402.0,2.4811741894755825
600,2023,209,Virajpet,167778.0,A.s.ponnanna,INC,83791.0,K.g.bopaiah,BJP,79500.0,4291.0,2.5575462813956538
601,2023,211,Krishnarajanagara,188841.0,Ravishankar.d.,INC,104502.0,Sa.ra. Mahesh.,JD(S),78863.0,25639.0,13.57703041182794
602,2023,212,Hunsur,200945.0,G.d. Harish Gowda,JD(S),94665.0,H.p.manjunath,INC,92254.0,2411.0,1.1998307994724926
603,2023,215,Chamundeshwari,247118.0,G. T. Devegowda,JD(S),104873.0,S. Siddegowda,INC,79373.0,25500.0,10.318956935553055
604,2023,216,Krishnaraja,150322.0,T.s. Srivathsa,BJP,73670.0,M.k. Somashekar,INC,66457.0,7213.0,4.798366173946595
605,2023,217,Chamaraja,150615.0,K. Harish Gowda,INC,72931.0,L. Nagendra.,BJP,68837.0,4094.0,2.7181887594197125
606,2023,218,Narasimharaja,184941.0,Tanveer Sait,INC,83480.0,S. Satheesh Sandesh Swamy,BJP,52360.0,31120.0,16.82698806646444
607,2023,219,Varuna,199379.0,Siddaramaiah,INC,119816.0,V. Somanna,BJP,73653.0,46163.0,23.153391279924165
608,2023,221,Hanur,180366.0,M.r. Manjunath,JD(S),75632.0,R. Narendra,INC,57978.0,17654.0,9.787875763724871
609,2023,223,Chamarajanagar,173057.0,C. Puttarangashetty,INC,83858.0,V.somanna,BJP,76325.0,7533.0,4.352901067278411
610,2023,224,Gundlupet,187995.0,H.m.ganesh Prasad,INC,107794.0,C.s. Niranjan Kumar,BJP,71119.0,36675.0,19.50849756642464
