,name,constituency,party,votes,age,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters
211,Sharana Gowda Kandakur,Gurmitkal,JD(S),72297,41.0,M,0,123847,124317,3,248167
212,Karemma,Devadurga,JD(S),99544,50.0,F,0,115884,117584,4,233472
213,H T Manju,Krishnarajpet,JD(S),80646,49.0,M,0,109392,109071,11,218474
214,C N Balakrishna,Shravanabelagola,JD(S),85668,54.0,M,1,101497,103526,3,205026
215,H D Kumara Swamy,Channapatna,JD(S),96592,64.0,M,1,111530,118787,10,230327
216,H. P. Swaroop,Hassan,JD(S),85176,40.0,M,0,112325,115485,13,227823
217,H D Revanna,Holenarasipur,JD(S),88103,65.0,M,1,110108,110020,10,220138
218,A. Manju,Arkalgud,JD(S),74643,66.0,M,0,116405,111254,4,227663
219,G.D. Harish Gowda,Hunsur,JD(S),94666,36.0,M,0,121217,121525,14,242756
220,G.T.Devegowda,Chamundeshwari,JD(S),104873,73.0,M,1,162890,163796,35,326721
221,M.R. Manjunath,Hanur,JD(S),75632,50.0,M,0,111960,109581,16,221557
222,G Janardhan Reddy,Gangawati,KRPP,66213,56.0,M,0,100295,101899,12,202206
223,Dharshan Puttannaiah,Melukote,SKP,91151,46.0,M,0,99354,100764,7,200125
