,name,age,gender,party,votes,percent_votes,constituency,constituency_category,total_electors,voter_turnout
53,J K Krishna Reddy,51.0,M,JD(S),87753,48.54722889166731,Chintamani,GEN,214487,180758
54,G H Thippareddy,70.0,M,BJP,82896,43.77739519851287,Chitradurga,GEN,251003,189358
55,Priyank Kharge,39.0,M,INC,69700,49.65483831900207,Chittapur,SC,231920,140369
56,R.Manjunatha,59.0,M,JD(S),94044,43.48151744226369,Dasarahalli,GEN,449950,216285
57,S.A. Ravindranath,72.0,M,BJP,76540,48.65026346399537,Davanagere North,GEN,240405,157327
58,Shamanur Shivashankarappa,86.0,M,INC,71369,52.44905308180169,Davanagere South,GEN,206760,136073
59,Shivana Gouda Nayak,41.0,M,BJP,67003,42.57700055284077,Devadurga,ST,227846,157369
60,Narayanaswamy L N,49.0,M,JD(S),86966,50.8103623552507,Devanahalli,SC,202254,171158
61,Somanagouda B Patil (Sasanur),53.0,M,BJP,48245,34.68891780930262,Devar Hippargi,GEN,208670,139079
62,Amrut Ayyappa Desai,41.0,M,BJP,85123,54.69575274689971,Dharwad,GEN,207025,155630
63,T Venkataramanaiah,57.0,M,INC,73225,43.39079267822965,Doddaballapur,GEN,203231,168757
64,Hanamantagouda Krishnagouda Patil,64.0,M,INC,77699,48.41360832450619,Gadag,GEN,219575,160490
65,Dinesh Gundu Rao,48.0,M,INC,47354,37.33806426177805,Gandhi Nagar,GEN,229803,126825
66,Paranna Eshwarappa Munavalli,64.0,M,BJP,67617,45.91269275427268,Gangawati,GEN,194079,147273
67,N.H.Shivashankara Reddy,64.0,M,INC,69000,40.90828244501097,Gauribidanur,GEN,203048,168670
68,Jarkiholi Ramesh Laxmanrao,58.0,M,INC,90249,51.87320381653063,Gokak,GEN,242402,173980
69,V Somanna,67.0,M,BJP,79135,50.330405581596494,Govindraj Nagar,GEN,292976,157231
70,S R Srinivas (Vasu),56.0,M,JD(S),55572,35.75601595676232,Gubbi,GEN,182902,155420
71,Dattatraya C Patil Revoor Appu Gouda,35.0,M,BJP,64788,44.87884623377343,Gulbarga Dakshin,GEN,263662,144362
72,Basawaraj Mattimud,38.0,M,BJP,61750,40.49313092232532,Gulbarga Rural,SC,250497,152495
73,Kaneez Fatima,58.0,F,INC,64311,43.29191124993268,Gulbarga Uttar,GEN,274281,148552
